x0,x1,x2,x3,x4,x5,y
45.7,44.91,44.48,45.83,0.17985611510791366,0.3090909090909091,1
44.43,45.7,44.91,44.48,0.16279069767441862,0.17985611510791366,0
45.23,44.43,45.7,44.91,0.4782608695652174,0.16279069767441862,0
45.09,45.23,44.43,45.7,0.25925925925925924,0.4782608695652174,1
44.74,45.09,45.23,44.43,0.23076923076923078,0.25925925925925924,1
45.54,44.74,45.09,45.23,0.012345679012345678,0.23076923076923078,1
46.26,45.54,44.74,45.09,0.22413793103448276,0.012345679012345678,0
48.53,46.26,45.54,44.74,0.16279069767441862,0.22413793103448276,1
47.81,48.53,46.26,45.54,0.23863636363636365,0.16279069767441862,1
49.43,47.81,48.53,46.26,0.13402061855670103,0.23863636363636365,0
49.63,49.43,47.81,48.53,0.10256410256410256,0.13402061855670103,0
46.66,49.63,49.43,47.81,0.2,0.10256410256410256,0
46.64,46.66,49.63,49.43,0.03546099290780142,0.2,1
46.38,46.64,46.66,49.63,0.16393442622950818,0.03546099290780142,0
47.26,46.38,46.64,46.66,0.0,0.16393442622950818,0
45.89,47.26,46.38,46.64,0.3125,0.0,0
45.55,45.89,47.26,46.38,0.19402985074626866,0.3125,1
45.2,45.55,45.89,47.26,0.03571428571428571,0.19402985074626866,0
45.38,45.2,45.55,45.89,0.025974025974025976,0.03571428571428571,0
44.6,45.38,45.2,45.55,0.05454545454545454,0.025974025974025976,0
43.98,44.6,45.38,45.2,-0.05714285714285714,0.05454545454545454,1
43.2,43.98,44.6,45.38,0.09473684210526316,-0.05714285714285714,1
45.94,43.2,43.98,44.6,0.16666666666666666,0.09473684210526316,1
46.06,45.94,43.2,43.98,0.14285714285714285,0.16666666666666666,0
46.59,46.06,45.94,43.2,-0.07407407407407407,0.14285714285714285,1
46.14,46.59,46.06,45.94,-0.031746031746031744,-0.07407407407407407,0
47.9,46.14,46.59,46.06,0.06493506493506493,-0.031746031746031744,0
46.32,47.9,46.14,46.59,-0.06976744186046512,0.06493506493506493,0
45.2,46.32,47.9,46.14,0.19745222929936307,-0.06976744186046512,0
44.29,45.2,46.32,47.9,0.14285714285714285,0.19745222929936307,1
43.87,44.29,45.2,46.32,0.08108108108108109,0.14285714285714285,0
44.21,43.87,44.29,45.2,0.18181818181818182,0.08108108108108109,0
41.75,44.21,43.87,44.29,0.2,0.18181818181818182,1
40.74,41.75,44.21,43.87,0.09230769230769231,0.2,0
41.74,40.74,41.75,44.21,0.16666666666666666,0.09230769230769231,1
40.67,41.74,40.74,41.75,0.010752688172043012,0.16666666666666666,0
40.75,40.67,41.74,40.74,0.09523809523809523,0.010752688172043012,0
40.54,40.75,40.67,41.74,0.17073170731707318,0.09523809523809523,1
40.39,40.54,40.75,40.67,0.10077519379844961,0.17073170731707318,1
41.75,40.39,40.54,40.75,0.15942028985507245,0.10077519379844961,1
42.87,41.75,40.39,40.54,0.07547169811320754,0.15942028985507245,0
43.04,42.87,41.75,40.39,0.18072289156626506,0.07547169811320754,0
41.71,43.04,42.87,41.75,0.1919191919191919,0.18072289156626506,1
41.65,41.71,43.04,42.87,0.20987654320987653,0.1919191919191919,0
41.85,41.65,41.71,43.04,-0.1111111111111111,0.20987654320987653,1
39.94,41.85,41.65,41.71,-0.01818181818181818,-0.1111111111111111,0
41.08,39.94,41.85,41.65,0.07368421052631578,-0.01818181818181818,0
39.97,41.08,39.94,41.85,0.11578947368421053,0.07368421052631578,0
37.65,39.97,41.08,39.94,0.08695652173913043,0.11578947368421053,0
37.51,37.65,39.97,41.08,-0.006993006993006993,0.08695652173913043,0
37.16,37.51,37.65,39.97,0.06796116504854369,-0.006993006993006993,0
36.76,37.16,37.51,37.65,0.06741573033707865,0.06796116504854369,1
35.62,36.76,37.16,37.51,0.07027027027027027,0.06741573033707865,1
36.31,35.62,36.76,37.16,0.007751937984496124,0.07027027027027027,0
37.35,36.31,35.62,36.76,0.05521472392638037,0.007751937984496124,0
35.52,37.35,36.31,35.62,-0.3391304347826087,0.05521472392638037,0
34.95,35.52,37.35,36.31,0.03896103896103896,-0.3391304347826087,1
34.73,34.95,35.52,37.35,0.06358381502890173,0.03896103896103896,1
34.74,34.73,34.95,35.52,0.02040816326530612,0.06358381502890173,1
36.14,34.74,34.73,34.95,-0.02654867256637168,0.02040816326530612,1
37.5,36.14,34.74,34.73,0.14285714285714285,-0.02654867256637168,0
38.1,37.5,36.14,34.74,0.09210526315789473,0.14285714285714285,1
36.81,38.1,37.5,36.14,0.0,0.09210526315789473,0
37.87,36.81,38.1,37.5,0.12056737588652482,0.0,1
36.6,37.87,36.81,38.1,0.09090909090909091,0.12056737588652482,0
37.04,36.6,37.87,36.81,0.058823529411764705,0.09090909090909091,0
